timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783533.520988,0000000000000001:3,0.040692,-0.791456,0.028485
1776783534.421028,0000000000000002:1,0.008322,-0.000479,0.005826
1776783534.421077,0000000000000002:2,0.002237,0.000044,0.001579
1776783534.430103,0000000000000004:1,0.012571,-0.041130,0.008800
1776783534.430133,0000000000000004:2,0.008320,-0.000465,0.005824
1776783534.430150,0000000000000004:3,0.001132,0.000020,0.000798
1776783534.451848,0000000000000003:1,0.001132,0.000026,0.000800
1776783534.451879,0000000000000003:2,0.011075,-0.037616,0.007753
1776783534.526097,0000000000000001:1,0.012546,-0.000630,0.008783
1776783534.526129,0000000000000001:2,0.002233,0.000020,0.001569
1776783534.526149,0000000000000001:3,0.011076,-0.029617,0.007753
1776783535.430469,0000000000000002:1,0.008275,-0.000047,0.005792
1776783535.430520,0000000000000002:2,0.002410,0.000173,0.001739
1776783535.437151,0000000000000004:1,0.012728,0.000157,0.008956
1776783535.437181,0000000000000004:2,0.008311,-0.000008,0.005818
1776783535.437198,0000000000000004:3,0.001204,0.000072,0.000865
1776783535.459001,0000000000000003:1,0.001204,0.000073,0.000865
1776783535.459032,0000000000000003:2,0.011063,-0.000013,0.007744
1776783535.538137,0000000000000001:1,0.012594,0.000048,0.008830
1776783535.538195,0000000000000001:2,0.002404,0.000171,0.001734
1776783535.538214,0000000000000001:3,0.011035,-0.000040,0.007725
1776783536.433729,0000000000000002:1,0.009007,0.000732,0.006525
1776783536.433791,0000000000000002:2,0.785674,0.783264,0.784951
1776783536.439812,0000000000000004:1,0.532875,0.520147,0.529057
1776783536.439845,0000000000000004:2,0.008982,0.000671,0.006489
1776783536.439863,0000000000000004:3,0.001099,-0.000105,0.000769
1776783536.455407,0000000000000003:1,0.001126,-0.000078,0.000788
1776783536.455464,0000000000000003:2,0.011950,0.000888,0.008632
1776783536.551827,0000000000000001:1,0.013260,0.000666,0.009482
1776783536.551878,0000000000000001:2,0.780171,0.777767,0.779450
1776783536.551896,0000000000000001:3,0.011668,0.000632,0.008357
1776783537.431845,0000000000000004:1,0.686704,0.153829,0.526841
1776783537.431895,0000000000000004:2,0.009097,0.000115,0.006403
1776783537.431914,0000000000000004:3,0.000511,-0.000588,0.000358
1776783537.432654,0000000000000002:1,0.009051,0.000044,0.006349
1776783537.432679,0000000000000002:2,1.000000,0.214326,0.764298
1776783537.449663,0000000000000003:1,0.000544,-0.000582,0.000381
1776783537.449715,0000000000000003:2,0.011963,0.000013,0.008378
1776783537.563625,0000000000000001:1,0.012473,-0.000787,0.008731
1776783537.563680,0000000000000001:2,0.992395,0.212224,0.758344
1776783537.563699,0000000000000001:3,0.011632,-0.000036,0.008142
1776783538.440150,0000000000000002:1,0.009668,0.000617,0.006953
1776783538.440201,0000000000000002:2,0.998824,-0.001176,0.699177
1776783538.450431,0000000000000004:1,0.734661,0.047957,0.528650
1776783538.450469,0000000000000004:2,0.009556,0.000459,0.006827
1776783538.450488,0000000000000004:3,0.000162,-0.000350,0.000113
1776783538.455059,0000000000000003:1,0.000174,-0.000370,0.000122
1776783538.455088,0000000000000003:2,0.180282,0.168319,0.176693
1776783538.567933,0000000000000001:1,0.013231,0.000758,0.009489
1776783538.567980,0000000000000001:2,1.000000,0.007605,0.702281
1776783538.567999,0000000000000001:3,0.188510,0.176878,0.185021
1776783539.446721,0000000000000002:1,0.009244,-0.000424,0.006471
1776783539.446771,0000000000000002:2,0.014771,-0.984053,0.010340
1776783539.447767,0000000000000004:1,0.308966,-0.425695,0.216276
1776783539.447792,0000000000000004:2,0.009347,-0.000210,0.006543
1776783539.447809,0000000000000004:3,0.000283,0.000121,0.000235
1776783539.462817,0000000000000003:1,0.000277,0.000103,0.000225
1776783539.462848,0000000000000003:2,0.189577,0.009295,0.135493
1776783539.573673,0000000000000001:1,0.012683,-0.000548,0.008878
1776783539.573707,0000000000000001:2,0.013138,-0.986862,0.009197
1776783539.573725,0000000000000001:3,0.181954,-0.006556,0.127368
1776783540.498688,0000000000000002:1,0.009097,-0.000148,0.006368
1776783540.498739,0000000000000002:2,0.000715,-0.014056,0.000501
1776783540.505240,0000000000000004:1,0.012591,-0.296375,0.008814
1776783540.505270,0000000000000004:2,0.009046,-0.000301,0.006332
1776783540.505288,0000000000000004:3,0.000372,0.000089,0.000287
1776783540.515545,0000000000000003:1,0.000370,0.000094,0.000287
1776783540.515575,0000000000000003:2,0.012107,-0.177470,0.008475
1776783540.624629,0000000000000001:1,0.012605,-0.000078,0.008824
1776783540.624666,0000000000000001:2,0.000723,-0.012415,0.000506
1776783540.624684,0000000000000001:3,0.012153,-0.169801,0.008507
1776783541.504181,0000000000000002:1,0.009517,0.000420,0.006788
1776783541.504232,0000000000000002:2,0.000962,0.000247,0.000748
1776783541.510326,0000000000000004:1,0.013247,0.000656,0.009470
1776783541.510361,0000000000000004:2,0.009514,0.000468,0.006800
1776783541.510386,0000000000000004:3,0.000498,0.000126,0.000387
1776783541.521832,0000000000000003:1,0.000494,0.000124,0.000383
1776783541.521868,0000000000000003:2,0.012661,0.000554,0.009029
1776783541.634058,0000000000000001:1,0.013190,0.000585,0.009409
1776783541.634107,0000000000000001:2,0.000992,0.000269,0.000775
1776783541.634125,0000000000000001:3,0.012640,0.000487,0.008994
1776783542.506978,0000000000000002:1,0.008836,-0.000681,0.006185
1776783542.507032,0000000000000002:2,0.001092,0.000130,0.000804
1776783542.511060,0000000000000004:1,0.012517,-0.000730,0.008762
1776783542.519753,0000000000000004:2,0.008755,-0.000760,0.006128
1776783542.519776,0000000000000004:3,0.000543,0.000044,0.000393
1776783542.531871,0000000000000003:1,0.000536,0.000041,0.000387
1776783542.531901,0000000000000003:2,0.011568,-0.001094,0.008097
1776783542.648941,0000000000000001:1,0.012281,-0.000910,0.008596
1776783542.648983,0000000000000001:2,0.001040,0.000048,0.000742
1776783542.649002,0000000000000001:3,0.011548,-0.001092,0.008084
1776783543.514768,0000000000000002:1,0.009275,0.000440,0.006625
1776783543.514819,0000000000000002:2,0.001300,0.000208,0.000973
1776783543.525786,0000000000000004:1,0.013196,0.000680,0.009441
1776783543.525815,0000000000000004:2,0.009325,0.000570,0.006698
1776783543.525833,0000000000000004:3,0.000665,0.000122,0.000502
1776783543.535805,0000000000000003:1,0.000643,0.000107,0.000482
1776783543.535836,0000000000000003:2,0.012566,0.000998,0.009096
1776783543.645177,0000000000000001:1,0.013509,0.001228,0.009825
1776783543.645211,0000000000000001:2,0.001336,0.000296,0.001024
1776783543.645229,0000000000000001:3,0.012645,0.001098,0.009181
1776783544.520279,0000000000000002:1,0.008572,-0.000703,0.006001
1776783544.520331,0000000000000002:2,0.001330,0.000030,0.000940
1776783544.530291,0000000000000004:1,0.461695,0.448499,0.457736
1776783544.530321,0000000000000004:2,0.008588,-0.000737,0.006011
1776783544.530339,0000000000000004:3,0.000672,0.000008,0.000473
1776783544.546226,0000000000000003:1,0.000685,0.000042,0.000492
1776783544.546257,0000000000000003:2,0.462181,0.449615,0.458411
1776783544.653814,0000000000000001:1,0.012265,-0.001244,0.008586
1776783544.653852,0000000000000001:2,0.001319,-0.000016,0.000923
1776783544.653870,0000000000000001:3,0.471721,0.459076,0.467928
1776783545.526425,0000000000000002:1,0.009184,0.000611,0.006612
1776783545.526492,0000000000000002:2,0.001623,0.000293,0.001224
1776783545.592313,0000000000000004:1,0.857691,0.395996,0.719182
1776783545.592383,0000000000000004:2,0.008697,0.000109,0.006121
1776783545.592402,0000000000000004:3,0.000781,0.000109,0.000580
1776783545.608614,0000000000000003:1,0.000765,0.000080,0.000560
1776783545.608646,0000000000000003:2,0.856398,0.394217,0.717744
1776783545.715487,0000000000000001:1,0.012613,0.000348,0.008933
1776783545.715536,0000000000000001:2,0.001538,0.000219,0.001142
1776783545.715555,0000000000000001:3,0.856818,0.385097,0.715302
1776783546.531811,0000000000000002:1,0.008606,-0.000578,0.006024
1776783546.531865,0000000000000002:2,0.001611,-0.000012,0.001128
1776783546.542182,0000000000000004:1,0.955536,0.097845,0.698229
1776783546.542212,0000000000000004:2,0.009102,0.000405,0.006493
1776783546.542229,0000000000000004:3,0.000863,0.000082,0.000629
1776783546.559152,0000000000000003:1,0.000873,0.000108,0.000643
1776783546.559208,0000000000000003:2,0.954945,0.098547,0.698026
1776783546.669479,0000000000000001:1,0.013201,0.000588,0.009417
1776783546.669530,0000000000000001:2,0.001733,0.000195,0.001271
1776783546.669549,0000000000000001:3,0.951700,0.094881,0.694654
1776783547.540009,0000000000000002:1,0.008522,-0.000084,0.005965
1776783547.540066,0000000000000002:2,0.001826,0.000215,0.001343
1776783547.554499,0000000000000004:1,0.901770,-0.053766,0.631239
1776783547.586780,0000000000000004:2,0.008199,-0.000903,0.005740
1776783547.586845,0000000000000004:3,0.000868,0.000005,0.000610
1776783547.603224,0000000000000003:1,0.000856,-0.000017,0.000599
1776783547.603253,0000000000000003:2,0.871949,-0.082996,0.610365
1776783547.716482,0000000000000001:1,0.012041,-0.001160,0.008429
1776783547.716536,0000000000000001:2,0.001750,0.000017,0.001230
1776783547.716556,0000000000000001:3,0.869627,-0.082072,0.608739
1776783548.548701,0000000000000002:1,0.008458,-0.000064,0.005920
1776783548.548755,0000000000000002:2,0.308534,0.306708,0.307986
1776783548.561104,0000000000000004:1,0.850923,-0.050847,0.595646
1776783548.561146,0000000000000004:2,0.008793,0.000594,0.006334
1776783548.561165,0000000000000004:3,0.000931,0.000063,0.000671
1776783548.576494,0000000000000003:1,0.000936,0.000080,0.000679
1776783548.576524,0000000000000003:2,0.666046,-0.205903,0.466232
1776783548.695779,0000000000000001:1,0.012859,0.000819,0.009247
1776783548.695818,0000000000000001:2,0.319485,0.317735,0.318960
1776783548.695837,0000000000000001:3,0.652837,-0.216791,0.456986
1776783549.549846,0000000000000002:1,0.008792,0.000334,0.006255
1776783549.549899,0000000000000002:2,1.000000,0.691466,0.907440
1776783549.560330,0000000000000003:1,0.000535,-0.000401,0.000375
1776783549.560361,0000000000000003:2,0.011830,-0.654216,0.008281
1776783549.560590,0000000000000004:1,0.683194,-0.167729,0.478235
1776783549.560614,0000000000000004:2,0.008781,-0.000012,0.006147
1776783549.560631,0000000000000004:3,0.000487,-0.000444,0.000341
1776783549.710630,0000000000000001:1,0.012135,-0.000724,0.008495
1776783549.710682,0000000000000001:2,0.992866,0.673381,0.897021
1776783549.710701,0000000000000001:3,0.011327,-0.641509,0.007929
1776783550.556952,0000000000000002:1,0.009885,0.001093,0.007248
1776783550.557006,0000000000000002:2,1.000000,0.000000,0.700000
1776783550.567253,0000000000000004:1,0.680668,-0.002525,0.476468
1776783550.567283,0000000000000004:2,0.009880,0.001099,0.007245
1776783550.567302,0000000000000004:3,0.000123,-0.000364,0.000086
